Comment,topic_1final,topic_2final,topic_2nd_ratio,sentiment_1final,sentiment_2final
Being mission based,Inspiring Work/Place,Co-Workers/Teamwork,0.10951577116622867,Positive,Negative
Never had such a wonderful team to work with!!,Co-Workers/Teamwork,No answer/Nothing,0.0019981185461403267,Positive,Nothing
It's all the same type/diagnoses of residents.,Inspiring Work/Place,Co-Workers/Teamwork,0.001553621534957559,Negative,Positive
"better food for residents, more staff to meet resident needs in some units",Inspiring Work/Place,Staffing and Scheduling,0.03248219371736135,Negative,Positive
More care givers,Co-Workers/Teamwork,Management Reliability/Integrity,0.10487885522748232,Negative,Positive
Recognizing team members monthly with the chance of receiving amazing gifts.,Appreciation/Recognition,Co-Workers/Teamwork,0.004832878619294934,Positive,Negative
"Benefits
Events
Staff",Benefits,Incentives/Growth,0.0013501182360010058,Positive,Negative
Not necessarily the company but some of the employees at the port make demeaning comments to others or about others and it makes it an uncomfortable environment. ,Co-Workers/Teamwork,Employee relations,0.11947596574064981,Negative,Positive
Some days the only reason I stay with Country Meadows is because of the residents. I love my residents and truly enjoy the time I spend caring for them. ,Inspiring Work/Place,Co-Workers/Teamwork,0.00101168743889777,Positive,Negative
"Consistent management,and long term employees.",Management Reliability/Integrity,Co-Workers/Teamwork,0.005495162179632908,Negative,Positive
"I love the fact that everyone from the top down are therapists. It gives everyone a sense that we are all on the same page and not just a corporation founded on business ideals only. We are here for our clients and we are here for each other. There is a support from everyone that we are a family and not just co-workers.
There is flexibility that enables you to live your life and the idea that you are valued every day.",Co-Workers/Teamwork,Communication/Support,0.06439951526929816,Positive,Negative
Nothing.,No answer/Nothing,Inspiring Work/Place,0.00011627625213906154,Nothing,Negative
The elders! It's very uplifting job!,Co-Workers/Teamwork,Inspiring Work/Place,0.08224923450497384,Positive,Negative
Nothing,No answer/Nothing,Inspiring Work/Place,9.13251414270042e-05,Nothing,Negative
Department manager helping out instead of putting their part of the workload onto other workers while they do nothing ,Management Reliability/Integrity,Co-Workers/Teamwork,0.004662734283269948,Negative,Positive
The management team truly cares about there employees. I always feel valued by infinity. It truly is a great place to work. ,Management Reliability/Integrity,Co-Workers/Teamwork,0.002565875318729931,Positive,Negative
On site day care for employees Children!,Inspiring Work/Place,Benefits,0.09717327941926597,Positive,Negative
I like all the hours that are available.,Staffing and Scheduling,Balancing Personal/Productivity,0.0060651329542058515,Positive,Negative
na,No answer/Nothing,Inspiring Work/Place,0.00014641749961873785,Nothing,Negative
Discount for family members who would like to move into a WEL community.,Benefits,Inspiring Work/Place,0.012288665771803662,Positive,Negative
Have the home office staff be more understanding of day to day operations at the facility level. Stop the rediculous amount of calendar events from Juanita Cha. ,Communication/Support,Co-Workers/Teamwork,0.273404714079689,Negative,Positive
Management ,Management Reliability/Integrity,Co-Workers/Teamwork,0.0009427280922167855,Negative,Positive
More room for internal growth. ,Incentives/Growth,Inspiring Work/Place,0.009984232428720189,Negative,Positive
They're like family we care about each other and loo out for each other. We also have wonderful residents as well. We  always welcome new co workers with open arms.,Inspiring Work/Place,Co-Workers/Teamwork,0.004667432778422274,Positive,Negative
"higher pay, appreciating the good workers that we do have.",Incentives/Growth,Inspiring Work/Place,0.0031685996120995982,Negative,Positive
TEAMWORK AMONG ALL DEPARTMENTS & SHIFT,Co-Workers/Teamwork,Communication/Support,0.0007315521829253229,Negative,Positive
Nothing,No answer/Nothing,Inspiring Work/Place,9.13251414270042e-05,Nothing,Negative
"Everyone is optimistic, enthusiastic and ready to help you. You feel appreciated and valued. ",Co-Workers/Teamwork,Appreciation/Recognition,0.021467193518178086,Positive,Negative
I would make it consistent!!!!,No answer/Nothing,Co-Workers/Teamwork,0.09332940647781869,Negative,Positive
Stop hiring lazy people.,Staffing and Scheduling,Co-Workers/Teamwork,0.013767415562018305,Negative,Positive
i really love my team and my manager she really works with me wiht my outside life as far as being a full time student and a full time mother.,Co-Workers/Teamwork,Management Reliability/Integrity,0.005206814808974612,Positive,Negative
None,No answer/Nothing,Inspiring Work/Place,9.33272183903864e-05,Nothing,Negative
"Robs employees of there hours,terrible management,terrible clients.",Staffing and Scheduling,Co-Workers/Teamwork,0.25895256101358183,Negative,Positive
I love working here. I feel like I make a difference in the residents lives. It is very home like and the majority feel happy here.  Feels like an extension of my family,Inspiring Work/Place,Co-Workers/Teamwork,0.0014707474052020808,Positive,Negative
Company run by therapists. Management models the way.,Management Reliability/Integrity,Inspiring Work/Place,0.03219047769285519,Positive,Negative
Our executive team will always take the time to speak with you and make sure that you have everything you need not only at work but also in your personal life,Management Reliability/Integrity,Communication/Support,0.002045478727673038,Positive,Negative
Thank God this place is the best place and great place to work.,No answer/Nothing,Inspiring Work/Place,0.005318872118940442,Nothing,Positive
Good moral ,Co-Workers/Teamwork,Inspiring Work/Place,0.09575854629911314,Positive,Negative
My resident that I care for.....,Inspiring Work/Place,Co-Workers/Teamwork,0.0017232931065163256,Positive,Negative
Improved orientation and training at start of employment.,Learning & Development,Incentives/Growth,0.005958732941526134,Negative,Positive
Freshness ,Inspiring Work/Place,Co-Workers/Teamwork,0.0180871480634243,Positive,Negative
Not at all...,No answer/Nothing,Inspiring Work/Place,0.00020506540644634635,Nothing,Negative
Employees being able to truly volunteer without pay. ,Incentives/Growth,Benefits,0.01697519450477185,Negative,Positive
The company continues to grow. The weekends have been very busy. I feel that an increase in Perdiem or part time staff on weekends would help. ,Staffing and Scheduling,Balancing Personal/Productivity,0.05263043979855095,Negative,Positive
get to know the needs of every employee,Communication/Support,Management Reliability/Integrity,0.037654938967385226,Positive,Negative
Consider raises based on merit and less pressure to come in when sick.,Incentives/Growth,Appreciation/Recognition,0.009117075862771828,Negative,Positive
Being a faith based organization is the foundational key that  makes the Village At Orchard Ridge a great place to work.,Co-Workers/Teamwork,Inspiring Work/Place,0.04334984211707981,Positive,Negative
Nothing at all.,No answer/Nothing,Inspiring Work/Place,0.00016015232661296803,Nothing,Negative
"Communication is always something that can be improved upon.  For the most part great effort is taken to share what's going on, but there's always a few details that get missed.",Communication/Support,Co-Workers/Teamwork,0.0005939543110986494,Negative,Positive
The one thing I would change about the company if possible is the level in which they communicate from home office to the front line staff on the floor. Sometimes we don't hear about changes or events until they are happening which makes it very difficult to accommodate the day or the shift in which we have to make adjustments of any kind. ,Communication/Support,Management Reliability/Integrity,0.0022524648216257553,Negative,Positive
Some management.  Everyone is not qualified to be managers.,Management Reliability/Integrity,Co-Workers/Teamwork,0.0015882946994347118,Negative,Positive
I wouldnâ€™t change anything.,No answer/Nothing,Inspiring Work/Place,0.00024297049222835997,Nothing,Negative
"Better initial training would probably be my first thought.  The trainers should be better trained in how to deal with a new employee. Better communication is also needed, so that all employees know what is expected on a day to day basis. There is too much misinformation going around, and not enough reliable communication.  ",Learning & Development,Communication/Support,0.007565998928675985,Negative,Positive
"MANAGEMENT DOES not micromanage staff. 
Nurses are allowed to make DAILY schedules to work AROUND personal life",Management Reliability/Integrity,Co-Workers/Teamwork,0.004926417352929517,Positive,Negative
More information to the staff and better staff development,Communication/Support,Learning & Development,0.005197555975098651,Negative,Positive
The willingness the management team has for working with employees. They also work hard at making everyone feel welcome.,Management Reliability/Integrity,Co-Workers/Teamwork,0.013013560326837112,Positive,Negative
having special days to train new employees in the dining room,Learning & Development,Incentives/Growth,0.005377422080725338,Negative,Positive
Location closer to my home,Other,Inspiring Work/Place,0.0024830234078076687,Positive,Negative
None,No answer/Nothing,Inspiring Work/Place,9.33272183903864e-05,Nothing,Negative
Not one damn thing ,No answer/Nothing,Inspiring Work/Place,0.00016962910444479285,Nothing,Negative
The residents,Inspiring Work/Place,Co-Workers/Teamwork,0.0014551339046451615,Positive,Negative
Special holidays and events including EVERYONE is fun and something we all look forward to.,Co-Workers/Teamwork,Appreciation/Recognition,0.281497270039523,Positive,Negative
nothing.,No answer/Nothing,Inspiring Work/Place,0.00011627625213906154,Nothing,Negative
"The merger with Mercy has been bumpy but doable. The biggest concern is that too many staff were absorbed and there is not enough work for everyone. Many of the original Integrity staff has been cut down to only a few hours a week with no options to increase hours, despite being told ""not to worry"". Many staff are looking for employment elsewhere. ",Staffing and Scheduling,Co-Workers/Teamwork,0.09530685036736214,Negative,Positive
Equal pay for employees of the same experience and training. ,Incentives/Growth,Inspiring Work/Place,0.002080606066549174,Negative,Positive
None,No answer/Nothing,Inspiring Work/Place,9.33272183903864e-05,Nothing,Negative
"I do understand the importance of pay-roll and keeping in a budget. but in a work environment were coming to work with flu can negative impacted on our community there could be in place a program to deal with these environmental short falls. We love our residents. the pressure, to filling the need to come in while sick to cover our positions is a very difficult choice plaid out many times.",Incentives/Growth,Inspiring Work/Place,0.0971918704171765,Negative,Positive
"The positive and passionate attitudes of the employees. Almost all of stagg truly cares about what they are doing and the guests they are caring for. There are truly wonderful people who work in this facility, top to bottom who are passionate about the work they do. ",Co-Workers/Teamwork,Inspiring Work/Place,0.009675612511064576,Positive,Negative
Management ,Management Reliability/Integrity,Co-Workers/Teamwork,0.0009427280922167855,Negative,Positive
"I will change the duties of a care giver,  no laundry and house keeping. Just focus on patient care.",Inspiring Work/Place,Co-Workers/Teamwork,0.10051181903561555,Negative,Positive
nothing,No answer/Nothing,Inspiring Work/Place,9.13251414270042e-05,Nothing,Negative
"the reward of helping residents, and making a difference in their lives",Inspiring Work/Place,Incentives/Growth,0.15318015707249355,Positive,Negative
"more opportunities to work with/be with residents during ""normal"" hours and more flexibility for holidays.....it would be nice to see admin take some of their week-ends and or holidays to fill in for shifts that need to be filled 24-7",Staffing and Scheduling,Balancing Personal/Productivity,0.09982201943091007,Negative,Positive
management is great in making you feel like you're doing a good job,Management Reliability/Integrity,Communication/Support,0.0010644873451991577,Positive,Negative
They always have your back in any situation.,Co-Workers/Teamwork,Management Reliability/Integrity,0.03555095231907596,Positive,Negative
I like the way that they celebrate birthday's here for staff and residents. The benefits are amazing! ,Benefits,Appreciation/Recognition,0.17388306651125568,Positive,Negative
I feel that the company actually cares about the staff. The management  make it to where you want to come to work and have fun. This is a place where I see myself being for a long time. ,Management Reliability/Integrity,Co-Workers/Teamwork,0.009047235272798883,Positive,Negative
To check on the employees work schedule to make sure it is getting done and doing a good job. ,Staffing and Scheduling,Balancing Personal/Productivity,0.017642092323609956,Negative,Positive
Support and training from executive team members,Communication/Support,Learning & Development,0.19799147129925085,Positive,Negative
It would be great to be given Holiday Pay time off for real Holidays not using PTO.,Benefits,Balancing Personal/Productivity,0.19418012495044884,Negative,Positive
"Family owned, amazing family to work for!",Management Reliability/Integrity,Inspiring Work/Place,0.12352881974909179,Positive,Nothing
As soon as you begin working there you feel right at home. Everyone is friendly and helpful. You don't feel like a stranger when you work in the community.,Co-Workers/Teamwork,Inspiring Work/Place,0.0015339920779389347,Positive,Negative
Management accountability for creating and sustaining a culture based on our values as opposed to favoritism and tenure.,Management Reliability/Integrity,Communication/Support,0.0015379434454543056,Negative,Positive
Company is very ethical and professional. Management truly cares about the employees and patients as people. This company is passionate about quality of care and is proactive with changes in healthcare. ,Management Reliability/Integrity,Inspiring Work/Place,0.0050653111898110266,Positive,Negative
"Better wages and review of schedule for different positions.  It would make sense that some positions do not need to work outside of core hours;  for example 9a-5p, Mon-Fri.  ",Incentives/Growth,Inspiring Work/Place,0.005946867976476135,Negative,Positive
Everyone makes a difference at the office,Co-Workers/Teamwork,Communication/Support,0.0020430840828763756,Positive,Negative
Management and communication. Wages. Staffing if there was better pay for the hard labor and extra we do for others that slack we would have more people to work here. Nurses to help out more ,Management Reliability/Integrity,Incentives/Growth,0.12164461189122444,Negative,Positive
Location close ,Inspiring Work/Place,Other,0.038721391698250875,Positive,Negative
Improve communication.,Communication/Support,Co-Workers/Teamwork,0.0007203428073535993,Negative,Positive
I love the relationship that I have built with the residents and fellow employees ,Inspiring Work/Place,Co-Workers/Teamwork,0.001002346920445541,Positive,Negative
"More strict on rules and actually have consequences, and no favoritism over employees",Management Reliability/Integrity,Communication/Support,0.01476211216791408,Negative,Positive
The company really does give individuals the opportunity for professional growth,Incentives/Growth,Benefits,0.013431061387165322,Positive,Negative
I enjoy the friends I have made here.  We are like family on some levels and work well together.  We have nice benefits that a lot of other companies don't offer.  I truly enjoy the work I do and leave feeling accomplished at the end of the day...as well as exhausted and drained!  ,Co-Workers/Teamwork,Inspiring Work/Place,0.0204813839333931,Positive,Negative
acknowledgment ,Appreciation/Recognition,Communication/Support,0.010232404267049798,Negative,Positive
We would move to a bigger office space ! ,Inspiring Work/Place,Benefits,0.24237347682944302,Negative,Positive
Try to listen to people to staffs during meetings. Don't tell us that's not the reason for the meeting. Be patient when staffs complain. try to figure out why gnas complain of some nurses. Have meetings with each group of people and figure out what is wrong and what can be done. Try to appreciate when one does good at work not only complains. Also try to have full staffing every shift. the work load is so heavy working short wears you out. Try to care for us. try to to increase pays too to encourage work done.,Communication/Support,Co-Workers/Teamwork,0.017952504374535824,Negative,Positive
Nothing. ,No answer/Nothing,Inspiring Work/Place,0.00011627625213906154,Nothing,Negative
A lot of people really care and want the best for others. They stand up for one another. ,Co-Workers/Teamwork,Inspiring Work/Place,0.0018292073642263928,Positive,Negative
Everyone is very friendly and helpful.  Management is excellent always willing to listen at anytime!   I bet there is no other management team better than this.,Management Reliability/Integrity,Co-Workers/Teamwork,0.012025961694939875,Positive,Negative
None,No answer/Nothing,Inspiring Work/Place,9.33272183903864e-05,Nothing,Negative
everyone is friendly and welcoming,Co-Workers/Teamwork,Inspiring Work/Place,0.0028931813911101853,Positive,Negative
I wish my supervisor would be more flexible with new ideas.  She rarely listens to our suggestions.,Management Reliability/Integrity,Communication/Support,0.005615600744011623,Negative,Positive
The residents are unique ,Inspiring Work/Place,Co-Workers/Teamwork,0.0014738213374346745,Positive,Negative
less gossip,Employee relations,Co-Workers/Teamwork,0.0029504006217601192,Negative,Positive
Good health insurance,Benefits,Inspiring Work/Place,0.0008382266407757634,Positive,Negative
Na,No answer/Nothing,Inspiring Work/Place,0.00014641749961873785,Nothing,Negative
Lose the prayer component,Co-Workers/Teamwork,Inspiring Work/Place,0.0591745666836076,Negative,Positive
Family oriented ,Co-Workers/Teamwork,Inspiring Work/Place,0.013456626778647942,Positive,Negative
To bring back troy,Co-Workers/Teamwork,Inspiring Work/Place,0.11599769231159708,Negative,Positive
Everyone being so friendly and helpful ,Co-Workers/Teamwork,Inspiring Work/Place,0.0032589556523777504,Positive,Negative
"nice work environment, free coffee, and other hot beverages.  can purchase a soda or drink for a small fee.  you can eat lunch for 2.00 per day.  Birthday Holiday",Benefits,Inspiring Work/Place,0.00519240177234644,Positive,Negative
More pto time ,Balancing Personal/Productivity,Staffing and Scheduling,0.03307612805859807,Negative,Positive
no,No answer/Nothing,Inspiring Work/Place,0.00010874206932586781,Nothing,Negative
"Even though I would not consider my job dangerous, what I do can be extremely mentally and physically challenging and I don't believe the compensation is high enough. We should be paid more for what we do.",Incentives/Growth,Inspiring Work/Place,0.017086281587375147,Negative,Positive
I enjoy being in a facility where they care so much about their residents. Think of new ways to help each other. ,Inspiring Work/Place,Co-Workers/Teamwork,0.003810818241107152,Positive,Negative
It is leading the way in data analysis regarding Medicare changes in October 2019.  Years of preparation before any change was even announced.  I have many good friends here above and below me in the organizational system.  ,Communication/Support,Inspiring Work/Place,0.28871416509343445,Positive,Negative
no /great place to work,No answer/Nothing,Inspiring Work/Place,0.0001759676173923268,Nothing,Negative
Weekends off for each worker!,Balancing Personal/Productivity,Staffing and Scheduling,0.05670624815939749,Negative,Positive
I love that we all try out best to do what we can for our residents and family members. ,Inspiring Work/Place,Co-Workers/Teamwork,0.002910500422573571,Positive,Negative
Great company to work for where everyone looks out for each other ,Co-Workers/Teamwork,Management Reliability/Integrity,0.03001230068094778,Positive,Negative
There is a lot of mentoring and promoting from within.  People are provided significant training to excel at their job and improve the services to our customers.  ,Learning & Development,Incentives/Growth,0.06672403499531318,Positive,Negative
"Nonprofit, lots of regular volunteers, lots of celebrations/activities",Co-Workers/Teamwork,Inspiring Work/Place,0.047298083601341946,Positive,Negative
PERHAPS HAVE A DASH BOARD WHERE ONE CAN QUICKLY LOOK UP WHAT GOING ON. EITHER COMPANY WIDE OR JUST CAMPUS RELATED AT A GLANCE.,Supplies/Systems,Communication/Support,0.02635671250942775,Negative,Positive
"There needs to be more deliberate decisions regarding who leads, or rolls out new initiative or programs.",Management Reliability/Integrity,Communication/Support,0.006412783953352443,Negative,Positive
Acknowledging peoples accomplishments or special above and beyond.,Appreciation/Recognition,Co-Workers/Teamwork,0.012013895248234305,Positive,Negative
I feel like we should have more than just 4 people working on second shift,Staffing and Scheduling,Co-Workers/Teamwork,0.0031286775976853516,Negative,Positive
very good benefits!,Benefits,Incentives/Growth,0.000879914908669141,Positive,Negative
"Managements communixation, and schedule change process. ",Management Reliability/Integrity,Communication/Support,0.004187995155543065,Negative,Positive
 How the HSD treats the employees who are not her friends. ,Co-Workers/Teamwork,Management Reliability/Integrity,0.018729123635887523,Negative,Positive
Higher wages for kitchen staff/servers. ,Incentives/Growth,Inspiring Work/Place,0.0021066349118889086,Negative,Positive
no,No answer/Nothing,Inspiring Work/Place,0.00010874206932586781,Nothing,Negative
Small office with diversified team approach.,Co-Workers/Teamwork,Communication/Support,0.00338432066157357,Positive,Negative
The company is very proactive in keeping up with current evidence based practices and staying current with Medicare changes!,Inspiring Work/Place,Management Reliability/Integrity,0.14809051686747673,Positive,Negative
Communication ,Communication/Support,Co-Workers/Teamwork,0.0007044661993200155,Negative,Positive
"If I could change one thing about Infinity Rehab, it would be to create a workplace harassment/bullying/physical intimidation policy with conflict resolution and respond appropriately to employeesâ€™ concerns. ",Employee relations,Co-Workers/Teamwork,0.2479928309562632,Negative,Positive
The staff and residents treat each other like family and that brings such purpose and life to coming to work each and every day.,Inspiring Work/Place,Co-Workers/Teamwork,0.00368189145460371,Positive,Negative
Employees and pay ,Incentives/Growth,Inspiring Work/Place,0.010275420818062507,Negative,Positive
more team work from second shift ,Co-Workers/Teamwork,Staffing and Scheduling,0.005975142829346774,Negative,Positive
"Flexability, and understanding with being a single mom, things come up.",Staffing and Scheduling,Co-Workers/Teamwork,0.21304604193221477,Positive,Negative
Itâ€™s a close knit place to work where it feels like a family.  There is always help when needed and everyone is supportive of each other! ,Co-Workers/Teamwork,Communication/Support,0.0027461556553647864,Positive,Negative
"I've had the opportunity to see and feel the heartbeat of this company and I wish more people could experience it.  In person, I feel like the Executive team comes across VERY warm and personable.  Unfortunately, on the videos, the Executive team can appear chilly and unfriendly.  I know that's not their hearts desire.  Perhaps smiling more  and being 'real' instead of scripted could help.   All in all - a wonderful company to work for.",Management Reliability/Integrity,Co-Workers/Teamwork,0.15662267877039096,Negative,Positive
I live by boss Barb brown she goes above and beyond for me,Management Reliability/Integrity,Co-Workers/Teamwork,0.00633674091517326,Positive,Negative
Pay better for the work being done. ,Incentives/Growth,Inspiring Work/Place,0.0013696825130522807,Negative,Positive
I wouldnâ€™t change a thing.,No answer/Nothing,Inspiring Work/Place,0.00027157853245518803,Nothing,Negative
Change the facility director,Management Reliability/Integrity,Co-Workers/Teamwork,0.0020072502620391047,Negative,Positive
nothing,No answer/Nothing,Inspiring Work/Place,9.13251414270042e-05,Nothing,Negative
"I want to work in the community rather than in the corporate office. I wish the executives understood the importance of having financial and HR representation in the community with residents, staff and family members. I also feel I am grossly underpaid for the amount of work and responsibilities I have.",Management Reliability/Integrity,Inspiring Work/Place,0.07401529099799031,Negative,Positive
None.,No answer/Nothing,Inspiring Work/Place,0.0001121001778620042,Nothing,Negative
There are a lot of many different opportunities for you to succeed and learn more. Not many work places give you the opportunity to learn about something nursing related or just to learn more about gerontology.,Learning & Development,Incentives/Growth,0.043529466827396,Positive,Negative
no,No answer/Nothing,Inspiring Work/Place,0.00010874206932586781,Nothing,Negative
"Great place to work over all, management is great and works well with employees.",Management Reliability/Integrity,Co-Workers/Teamwork,0.012794964802074127,Positive,Negative
Unsure,No answer/Nothing,Inspiring Work/Place,0.00023243031959362088,Nothing,Negative
Very caring and compassionate ,Co-Workers/Teamwork,Inspiring Work/Place,0.010165046889275553,Positive,Negative
Higher wages,Incentives/Growth,Inspiring Work/Place,0.0011608791851406646,Negative,Positive
"Infinity Rehab is more appreciative of diversity than other large rehab companies in this area.  
Allowance of personal expression is not only important to keep employees happy, but also facilitates normalization of a wider range of expression.",Communication/Support,Co-Workers/Teamwork,0.06764829455031138,Positive,Negative
Team work,Co-Workers/Teamwork,Inspiring Work/Place,0.0012222461941883132,Positive,Negative
I like the way we encourage the residents to engage in many activities .we help celebrate every holiday .i like the communication that we have with residents family's and the friendships.,Inspiring Work/Place,Co-Workers/Teamwork,0.0017671217201764469,Positive,Negative
The pay is horrible for the job we do. Management changes schedules on a daily basis and messes everyone up. Having management and a cordinator who actually knew how to do there job. Appreciation for night shift not just day. ,Incentives/Growth,Management Reliability/Integrity,0.02005468970379271,Negative,Positive
"I feel like everyone who works here is friendly and approachable. When passing someone in the hallway, I greet them and I am greeted as well. I feel like if i have a question or want to share an idea, I can approach my Clinical Director or Executive Director with my thoughts. I feel like a valued member of the team.",Co-Workers/Teamwork,Communication/Support,0.008492869232287748,Positive,Negative
I am able to take the time off in the winter that I need.. ,Balancing Personal/Productivity,Staffing and Scheduling,0.021467856182730234,Positive,Negative
Management needs to be more respected. There needs to be consequences for breaking the rules.,Management Reliability/Integrity,Communication/Support,0.0013608510360324725,Negative,Positive
None,No answer/Nothing,Inspiring Work/Place,9.33272183903864e-05,Nothing,Negative
I love our human resources department. They have to be the most caring group of  people that I have ever had the pleasure to work with. ,Co-Workers/Teamwork,Management Reliability/Integrity,0.004054416263860408,Positive,Negative
More staff.,Staffing and Scheduling,Co-Workers/Teamwork,0.0019101622478398216,Negative,Positive
"Ethical, concern for individual coworkers who need help, charitable
",Co-Workers/Teamwork,Inspiring Work/Place,0.03381354356579774,Positive,Negative
Fair work load and appropriate raises or bonuses. ,Incentives/Growth,Benefits,0.13722675810853513,Negative,Positive
Management is down to earth and makes you feel like part of the family.,Management Reliability/Integrity,Co-Workers/Teamwork,0.0014431477030909707,Positive,Negative
More communication between employee,Communication/Support,Co-Workers/Teamwork,0.0005836619626061148,Negative,Positive
there is a big emphasis on working as a team in the culinary department. that makes it easier for each team member to know their part and how it coordinates into the whole purpose.,Co-Workers/Teamwork,Communication/Support,0.0017999112643257635,Positive,Negative
"very welcoming and fun, dressing up for holidays celebrating birthdays",Co-Workers/Teamwork,Appreciation/Recognition,0.1157800916783378,Positive,Negative
None,No answer/Nothing,Inspiring Work/Place,9.33272183903864e-05,Nothing,Negative
nothing,No answer/Nothing,Inspiring Work/Place,9.13251414270042e-05,Nothing,Negative
I love it just the way it is.,No answer/Nothing,Inspiring Work/Place,0.0019394761538220908,Nothing,Positive
I love this company and look forward to growing with it into the future.,No answer/Nothing,Incentives/Growth,0.1573890384918849,Positive,Nothing
more recognition to staff who deserve it.,Appreciation/Recognition,Incentives/Growth,0.0055926868674412685,Negative,Positive
"the one thing that I feel is unique here compared to other places I've worked is that you are given the freedom to do your best without being micromanaged and when errors are made it is typically accepted as an honest mistake that can be corrected and these things make you want to do your best.


",Communication/Support,Management Reliability/Integrity,0.11475453504546386,Positive,Negative
More pay ,Incentives/Growth,Inspiring Work/Place,0.0010429849126766067,Negative,Positive
Company cares about you as a person.  Has Helping Hand Loan and Co-worker Foundation to offer financial assistance to employees in need.  ,Management Reliability/Integrity,Benefits,0.06924360798068531,Positive,Negative
Continuing education to develop new front line managers. ,Learning & Development,Incentives/Growth,0.006929440600869375,Negative,Positive
Most works as a team for the best of the residents ,Co-Workers/Teamwork,Inspiring Work/Place,0.006681888383571715,Positive,Negative
everyone is kind to eachother ,Co-Workers/Teamwork,Inspiring Work/Place,0.0015116645713666105,Positive,Negative
"I feel the corporate management team has a strong desire to select new hire management personnel to be a  ""Great fit"" that suits JEA policies and ethics background. ",Management Reliability/Integrity,Inspiring Work/Place,0.0024289407448933108,Positive,Negative
More hours and a raise. And higher mileage ,Incentives/Growth,Inspiring Work/Place,0.0232658146205396,Negative,Positive
Our facility is an amazing assisted living community in which our services make a great deal of difference to the residents and family. ,Inspiring Work/Place,Co-Workers/Teamwork,0.0013150036600474103,Positive,Negative
Increase the pay a little to make it comparable to other places in the area. ,Incentives/Growth,Inspiring Work/Place,0.0011331322571263049,Negative,Positive
"Pay the bills so tat we are able to make our building shine. It is hard to get vendors here when you don't pay the bills. Makes the community not trust you. The employees feel the wrath, not the owners. ",Incentives/Growth,Inspiring Work/Place,0.1827536373702903,Negative,Positive
"The pay rate for full
Time employees and part time employees, how we communicate, some of the skills we perform ",Incentives/Growth,Inspiring Work/Place,0.0016783026389372427,Negative,Positive
"It would be nice to receive some compensation for good and consistent work ethics. I feel that because our department does so well with the associates that I work with, management adds responsibilities to our ever growing work load.   ",Incentives/Growth,Benefits,0.03635794236130043,Negative,Positive
A good portion of the staff is always willing to go above and beyond to help out co-workers or our residents. I always see my co workers doing whatever they can to help them out. The main reason I like what I'm doing is because of our residents. Most of them are kind and compassionate and brighten your day. They truly are amazing. ,Inspiring Work/Place,Co-Workers/Teamwork,0.007903507497493596,Positive,Negative
The clinicians/therapists I work with make it a great place to work. Not management. The therapists that care and try and go the extra mile for their patients are the ones who are special but yet they are underpaid for the work they do and often go unrecognized. ,Inspiring Work/Place,Co-Workers/Teamwork,0.12205443167791924,Negative,Positive
"Less micro-managing from supervisors
Managers need to be willing to change with the times. Health care is always changing and evolving and some managers are not open to suggestions that would improve productivity,  increase revenue and utilize the software program to its full capabilities. ",Management Reliability/Integrity,Communication/Support,0.002757798315178331,Negative,Positive
Hire people who are not controlling or micro managers to work with people who can hold their own. ,Management Reliability/Integrity,Staffing and Scheduling,0.22105460302417143,Negative,Positive
The favoritism.,Management Reliability/Integrity,Co-Workers/Teamwork,0.004162944983615118,Negative,Positive
Nothing at this time,No answer/Nothing,Inspiring Work/Place,0.00012172680631181601,Nothing,Negative
We need to get the DON out. They need to make better goals and visions because their expectations and goals currently are too much for thr CNAs and the Suites. Working there is very stressful.,Communication/Support,Management Reliability/Integrity,0.17118281583389652,Negative,Positive
sometimes t he people you work with,Co-Workers/Teamwork,Inspiring Work/Place,0.0022518167697920606,Positive,Negative
The benefits are outstanding. The Facilities are extraordinary.,Benefits,Inspiring Work/Place,0.001397460445436216,Positive,Negative
It has a feel of family to it.,Co-Workers/Teamwork,Inspiring Work/Place,0.006847261155318756,Positive,Negative
Nothing,No answer/Nothing,Inspiring Work/Place,9.13251414270042e-05,Nothing,Negative
Less documentation ,Supplies/Systems,Communication/Support,0.03525780890839704,Negative,Positive
Consistent communication structure from Executive Directors down through managers to line staff.  ,Communication/Support,Management Reliability/Integrity,0.001319439136501949,Negative,Positive
Managers on unit need to discipline more. Nursing should be able to discipline clinical staff. ,Management Reliability/Integrity,Co-Workers/Teamwork,0.008074318336208221,Negative,Positive
Our management team is the best I have ever experienced. ,Management Reliability/Integrity,Co-Workers/Teamwork,0.001867147568169394,Positive,Negative
The company should provide house keeping and increase hourly wage because we work so hard ,Incentives/Growth,Benefits,0.09487002495827487,Negative,Positive
they gave me a chance 11 years ago,Incentives/Growth,No answer/Nothing,0.1428518467237584,Positive,Negative
The CEO is very dedicated to the employees and the residents of this facility. He is easy to approach and takes into consideration all ideas of staff,Management Reliability/Integrity,Inspiring Work/Place,0.00797718888753414,Positive,Negative
"The only thing i would change would be the walkie talkies, some of them you cant hear out of or they do not work which makes communication betwen the PCA's a little bit hard most of the time. but other than that, there is not anything i would change at the moment.",Supplies/Systems,Communication/Support,0.026271687086855195,Negative,Positive
Everyone is so welcoming every time you turn the corner there is always a smile on someone's face. ,Co-Workers/Teamwork,Inspiring Work/Place,0.006265053919972348,Positive,Negative
NA ,No answer/Nothing,Inspiring Work/Place,0.00014641749961873785,Nothing,Negative
